1484812967,1
1485453002,2
1485935538,1
1486310906,2
1486389508,1
1487179103,1
1487269949,6
1488012991,4
1489034703,1
1489452891,1
1489585889,1
1489672198,1
1490692622,1
1492086846,1
1492093629,1
1492550785,1
1494055490,2
1497794539,1
1498494573,1
1498504846,2
1500420559,1
1500502663,1
1501317416,1
1501720772,1
1501855867,1
1502848506,3
1503136817,2
1503605793,1
1506033109,1
1506467237,2
1506652466,1
1507339792,1
1507363662,1
1508211275,1
1508413834,3
1509186941,1
1509458159,1
1509598727,1
1509622357,5
1509862462,2
1510215755,3
1510363849,2
1510486833,2
1510512821,5
1510796938,2
1510867551,1
1510981076,1
1511349413,2
1513604834,2
1514111487,2
